B7_016,F_020,M_F,B3_007,B7_015,F_019,L1_001,M_B7
4.284007,6.841625,5.8572725,6.820349,5.650278,4.87292,5.938872,4.9671425
3.440926,6.433055,5.6797045,6.714607,5.595269,4.926354,5.399931,4.5180975
4.705547,6.63734,5.888715,6.027285,5.430241,5.14009,5.831084,5.067894
3.440926,6.330913,5.334747,6.661736,5.650278,4.338581,5.77719,4.545602
3.124771,6.126628,5.312755,6.238769,4.935158,4.498882,5.022672,4.0299645
3.230156,5.309488,4.8240345,6.661736,4.660112,4.338581,5.076566,3.945134
2.07092,5.8202,5.106107,6.080156,4.715121,4.392014,4.753201,3.3930205
1.754765,5.207345,4.479076,5.657189,4.220038,3.750807,4.645413,2.9874015
6.700915,4.696633,4.250437,6.133027,4.000001,3.804241,4.807095,5.350458
6.173989,5.41163,4.4743505,5.71006,4.220038,3.537071,4.21426,5.1970135
6.911685,4.083778,3.6768395,5.71006,3.33989,3.269901,4.483731,5.1257875
6.384759,4.390205,3.910204,5.339963,3.614936,3.430203,4.429837,4.9998475
6.384759,4.390205,3.910204,5.339963,3.614936,3.430203,4.429837,4.9998475
5.436293,5.615915,4.416191,5.974414,4.440075,3.216467,3.567531,4.938184
5.120138,4.59449,4.172648,5.234221,3.724955,3.750806,4.214261,4.4225465
4.066287,5.105203,4.187552,5.287092,3.669946,3.269901,3.513637,3.8681165
4.066287,3.981635,3.599051,4.969866,3.394899,3.216467,3.67532,3.730593
3.855517,3.36878,3.2391895,5.022737,2.62477,3.109599,3.136378,3.2401435
2.907052,3.36878,2.9185855,4.969866,2.129687,2.468391,3.136378,2.5183695
2.169356,2.449498,2.5925295,4.494028,1.634604,2.735561,2.866908,1.90198
2.063971,2.040928,1.907339,4.811253,1.689613,1.77375,2.75912,1.876792
2.063971,1.019503,1.4500605,4.494028,1.579594,1.880618,2.974696,1.8217825
1.958586,1.019503,1.2897585,4.229673,1.524585,1.560014,2.004602,1.7415855
1.01012,1.530215,1.5183975,4.176802,-1.52059,1.50658,2.058496,-0.255235
