B7_016,F_020,M_B7,M_F,B3_007,B7_015,F_019,L1_001
-5.629138,-3.066199,-6.710391,-4.984019,-3.965319,-7.791644,-6.901839,-4.94774
-6.682989,-4.598336,-7.567372,-5.7500875,-3.648093,-8.451755,-6.901839,-4.624375
-8.052994,-4.291909,-8.334888,-5.596874,-4.229673,-8.616782,-6.901839,-5.486681
-7.104529,-5.109049,-7.7231325,-6.112312,-4.176802,-8.341736,-7.115575,-5.001634
-8.158379,-6.743329,-8.2500575,-6.929452,-4.176802,-8.341736,-7.115575,-5.001634
-7.842224,-5.824046,-7.7619245,-6.5766785,-5.181349,-7.681625,-7.329311,-4.624375
-8.052994,-6.539044,-8.1698605,-6.6670075,-4.969866,-8.286727,-6.794971,-4.139328
-8.052994,-6.539044,-8.1324275,-6.790949,-4.369201,-8.211861,-7.042854,-4.497133
-7.842224,-5.824046,-7.7519965,-6.219714,-4.474943,-7.661769,-6.615382,-4.227663
-7.315299,-4.904764,-7.5160385,-5.626488,-4.84504,-7.716778,-6.348212,-4.281557
-7.315299,-6.232616,-7.571048,-6.557584,-4.950781,-7.826797,-6.882552,-4.012086
-7.631454,-6.334759,-7.7841345,-6.5285045,-5.109394,-7.936815,-6.72225,-4.173769
-9.21223,-5.721904,-8.8770735,-6.409096,-4.739298,-8.541917,-7.096288,-4.281557
-10.160695,-6.539044,-9.2412875,-6.924534,-5.479491,-8.32188,-7.310024,-4.389345
-8.79069,-6.436901,-8.391257,-6.8467455,-4.950781,-7.991824,-7.25659,-4.012086
-7.631454,-5.313334,-8.0041715,-6.12466,-5.162265,-8.376889,-6.935986,-4.173769
-7.104529,-6.641186,-7.7132045,-6.788586,-5.109394,-8.32188,-6.935986,-4.012086
-7.104529,-5.517619,-7.2731305,-6.2802365,-4.950781,-7.441732,-7.042854,-4.443239
-7.315299,-5.313334,-7.268497,-6.12466,-5.109394,-7.221695,-6.935986,-4.71271
-6.893759,-4.189766,-7.277764,-5.536159,-5.320878,-7.661769,-6.882552,-4.119874
-6.682989,-5.006906,-7.0623605,-5.784427,-4.633556,-7.441732,-6.561948,-4.173769
-6.156063,-5.211191,-6.6613745,-5.9400035,-5.373749,-7.166686,-6.668816,-3.904298
-4.996828,-4.087624,-5.8892245,-5.458371,-5.003652,-6.781621,-6.829118,-3.958192
-5.839908,-4.189766,-6.420783,-5.215555,-4.474943,-7.001658,-6.241344,-3.742616
-5.839908,-4.394051,-6.585811,-5.4245655,-4.633556,-7.331714,-6.45508,-3.419251
-4.996828,-3.576911,-5.779206,-5.1228635,-5.162265,-6.561584,-6.668816,-3.79651
-5.629138,-3.679054,-6.315398,-4.799897,-4.84504,-7.001658,-5.92074,-3.79651
-4.575287,-3.270484,-5.5134265,-4.515461,-4.739298,-6.451566,-5.760438,-3.79651
-3.099897,-3.576911,-4.6107035,-4.7488255,-4.633556,-6.12151,-5.92074,-3.473145
-3.521437,-3.372626,-4.656446,-4.3527965,-4.422072,-5.791455,-5.332967,-3.095886
-3.837592,-3.781196,-5.0070555,-4.5303645,-4.422072,-6.176519,-5.279533,-3.257568
-4.575287,-3.372626,-5.403408,-4.806985,-4.474943,-6.231529,-6.241344,-3.419251
-4.575287,-4.189766,-5.3483985,-5.135404,-4.474943,-6.12151,-6.081042,-3.203674
-4.891443,-3.270484,-5.699009,-4.649046,-4.157718,-6.506575,-6.027608,-3.365357
-4.891443,-3.270484,-5.699009,-4.649046,-4.157718,-6.506575,-6.027608,-3.365357
-4.153748,-2.657629,-5.137629,-4.2090335,-4.897911,-6.12151,-5.760438,-4.012086
-4.048363,-3.168342,-5.112441,-4.491107,-4.369202,-6.176519,-5.813872,-3.527039
-4.680673,-3.576912,-5.5386145,-4.4282225,-4.633557,-6.396556,-5.279533,-3.580933
-5.102213,-3.576912,-5.6943755,-4.615241,-4.26346,-6.286538,-5.65357,-3.958192
-5.839909,-2.964057,-6.1457375,-4.2820965,-4.422073,-6.451566,-5.600136,-3.904298
-5.207598,-3.576912,-5.9120955,-4.855694,-4.104847,-6.616593,-6.134476,-3.365357
-6.366834,-3.474769,-6.684246,-4.7244715,-4.474944,-7.001658,-5.974174,-3.79651
