B1_004,B3_008,F_020,L1_002,M_B1,M_F,M_L1,B1_003,B2_005,F_019,M_B2,L1_001,B2_006
-12.499388,-12.974599,-12.161096,-12.491468,-12.237946,-11.8221205,-12.0136425,-11.976504,-11.409528,-11.483145,-11.7606055,-11.535817,-12.111683
-12.790071,-13.276334,-12.450646,-12.788884,-12.7585415,-12.3366645,-12.527076,-12.727012,-12.144325,-12.222683,-12.2721905,-12.265268,-12.400056
-12.790071,-13.276334,-12.450646,-12.788884,-12.8836265,-12.4599205,-12.648651,-12.977182,-12.389257,-12.469195,-12.3946565,-12.508418,-12.400056
-12.499388,-12.974599,-12.161096,-12.491468,-12.9884545,-12.561658,-12.743093,-13.477521,-12.879122,-12.96222,-12.4954025,-12.994718,-12.111683
-11.627337,-12.069394,-11.292447,-11.599221,-12.3022595,-11.880821,-12.0538195,-12.977182,-12.389257,-12.469195,-11.81791,-12.508418,-11.246563
-11.336654,-11.767659,-11.002897,-11.301805,-11.9067485,-11.4895335,-11.6619615,-12.476843,-11.899393,-11.97617,-11.428791,-12.022118,-10.958189
-11.627337,-12.069394,-11.292447,-11.599221,-12.05209,-11.6343085,-11.8106695,-12.476843,-11.899393,-11.97617,-11.572978,-12.022118,-11.246563
-11.627337,-12.069394,-11.292447,-11.599221,-11.927005,-11.511052,-11.689094,-12.226673,-11.65446,-11.729657,-11.4505115,-11.778967,-11.246563
-11.918021,-12.371129,-11.581997,-11.896637,-12.3225165,-11.90234,-12.0809525,-12.727012,-12.144325,-12.222683,-11.8396305,-12.265268,-11.534936
-12.208704,-12.672864,-11.871546,-12.194053,-12.467858,-12.0471145,-12.2296605,-12.727012,-12.144325,-12.222683,-11.9838175,-12.265268,-11.82331
-13.080755,-13.578069,-12.740196,-13.0863,-13.154053,-12.727952,-12.918934,-13.227351,-12.634189,-12.715708,-12.6613095,-12.751568,-12.68843
-13.080755,-13.578069,-12.740196,-13.0863,-13.4042225,-12.9744645,-13.162084,-13.72769,-13.124054,-13.208733,-12.906242,-13.237868,-12.68843
-13.662122,-14.181538,-13.319296,-13.681132,-13.694906,-13.2640145,-13.4595,-13.72769,-13.124054,-13.208733,-13.1946155,-13.237868,-13.265177
-13.952805,-14.483273,-13.608846,-13.978548,-14.090417,-13.655302,-13.8513585,-14.228029,-13.613918,-13.701758,-13.583734,-13.724169,-13.55355
