B1_004,B3_008,F_020,L1_002,M_B1,M_F,M_L1,B1_003,B2_005,F_019,M_B2,L1_001,B2_006
16.859642,17.50062,17.083443,17.547536,13.6991935,13.893217,13.947618,10.538745,10.634376,10.702991,13.824204,10.3477,17.014032
17.441008,18.10409,17.662543,18.142368,14.3651305,14.552536,14.609759,11.289253,11.369173,11.442529,14.479976,11.07715,17.590779
18.313059,19.009295,18.531193,19.034615,14.801156,14.986861,15.0558825,11.289253,11.369173,11.442529,14.912536,11.07715,18.455899
18.603742,19.31103,18.820743,19.332031,15.196667,15.3781485,15.4477405,11.789592,11.859037,11.935554,15.3016545,11.56345,18.744272
18.603742,19.31103,18.820743,19.332031,15.571921,15.7479175,15.812466,12.5401,12.593834,12.675092,15.669053,12.292901,18.744272
18.894426,19.612764,19.110293,19.629447,15.842348,16.0159485,16.082749,12.79027,12.838766,12.921604,15.935706,12.536051,19.032646
17.441008,18.10409,17.662543,18.142368,14.8654695,15.045561,15.0960595,12.289931,12.348902,12.428579,14.9698405,12.049751,17.590779
17.150325,17.802355,17.372993,17.844952,14.344874,14.531017,14.582626,11.539423,11.614105,11.689041,14.458255,11.3203,17.302405
17.150325,17.802355,17.372993,17.844952,14.595043,14.7775295,14.8257765,12.039761,12.103969,12.182066,14.703187,11.806601,17.302405
16.568958,17.198886,16.793893,17.25012,13.804021,13.9949545,14.04206,11.039084,11.12424,11.196016,13.924949,10.834,16.725658
17.150325,17.802355,17.372993,17.844952,14.219789,14.407761,14.461051,11.289253,11.369173,11.442529,14.335789,11.07715,17.302405
17.150325,17.802355,17.372993,17.844952,14.219789,14.407761,14.461051,11.289253,11.369173,11.442529,14.335789,11.07715,17.302405
17.441008,18.10409,17.662543,18.142368,14.4902155,14.675792,14.731334,11.539423,11.614105,11.689041,14.602442,11.3203,17.590779
17.731692,18.405825,17.952093,18.439784,14.760642,14.9438235,15.001617,11.789592,11.859037,11.935554,14.8690945,11.56345,17.879152
18.313059,19.009295,18.531193,19.034615,15.0513255,15.2333735,15.2990325,11.789592,11.859037,11.935554,15.157468,11.56345,18.455899
19.185109,19.914499,19.399843,19.926863,15.8626045,16.0374675,16.109882,12.5401,12.593834,12.675092,15.9574265,12.292901,19.321019
18.894426,19.612764,19.110293,19.629447,15.717263,15.8926925,15.961174,12.5401,12.593834,12.675092,15.81324,12.292901,19.032646
18.894426,19.612764,19.110293,19.629447,15.717263,15.8926925,15.961174,12.5401,12.593834,12.675092,15.81324,12.292901,19.032646
19.185109,19.914499,19.399843,19.926863,15.8626045,16.0374675,16.109882,12.5401,12.593834,12.675092,15.9574265,12.292901,19.321019
19.475793,20.216234,19.689392,20.224279,16.258116,16.4287545,16.50174,13.040439,13.083698,13.168117,16.346545,12.779201,19.609392
19.766476,20.517969,19.978942,20.521695,16.4034575,16.5735295,16.650448,13.040439,13.083698,13.168117,16.490732,12.779201,19.897766
19.766476,22.367814,19.978942,20.521695,16.4034575,16.5735295,16.650448,13.040439,13.083698,13.168117,16.490732,12.779201,19.897766
19.766476,22.367814,19.978942,20.521695,15.778034,15.957248,16.0425725,11.789592,11.859037,11.935554,15.8784015,11.56345,19.897766
19.766476,22.367814,19.978942,20.521695,15.6529495,15.8339915,15.9209975,11.539423,11.614104,11.689041,15.755935,11.3203,19.897766
19.766476,22.367814,19.978942,22.331503,15.6529495,16.4362655,17.733914,11.539423,13.548857,12.893589,16.7233115,13.136325,19.897766
18.894426,21.462609,19.110293,21.439256,15.09184,15.878685,17.1662155,11.289254,13.303925,12.647077,16.168285,12.893175,19.032645
18.603743,21.160874,18.820743,21.14184,14.696329,15.487397,16.774357,10.788915,12.81406,12.154051,15.779166,12.406874,18.744272
19.475793,22.066079,19.689392,22.034088,15.132354,15.9217215,17.220481,10.788915,12.81406,12.154051,16.211726,12.406874,19.609392
19.766476,22.367814,19.978942,22.331503,15.2776955,16.0664965,17.3691885,10.788915,12.81406,12.154051,16.355913,12.406874,19.897766
20.638527,23.273018,20.847592,23.223751,15.9638905,16.7473345,18.058463,11.289254,13.303925,12.647077,17.0334055,12.893175,20.762886
21.219894,23.876488,21.426692,23.818583,16.629828,17.406653,18.720604,12.039762,14.038722,13.386614,17.6891775,13.622625,21.339633
20.92921,23.574753,21.137142,23.521167,16.484486,17.261878,18.571896,12.039762,14.038722,13.386614,17.5449905,13.622625,21.051259
20.638527,23.273018,20.847592,23.223751,16.3391445,17.117103,18.423188,12.039762,14.038722,13.386614,17.400804,13.622625,20.762886
20.05716,22.669549,20.268492,22.628919,16.048461,16.827553,18.125772,12.039762,14.038722,13.386614,17.1124305,13.622625,20.186139
19.18511,21.764344,19.399843,21.736672,15.3622665,16.146716,17.4364985,11.539423,13.548857,12.893589,16.434938,13.136325,19.321019
18.894426,21.462609,19.110293,21.439256,14.966755,15.7554285,17.04464,11.039084,13.058993,12.400564,16.045819,12.650024,19.032645
18.894426,21.462609,19.110293,21.439256,15.09184,15.878685,17.1662155,11.289254,13.303925,12.647077,16.168285,12.893175,19.032645
18.894426,21.462609,19.110293,21.439256,14.8416705,15.632172,16.923065,10.788915,12.81406,12.154051,15.9233525,12.406874,19.032645
18.022376,20.557405,18.241643,20.547008,14.4056455,15.197847,16.476941,10.788915,12.81406,12.154051,15.4907925,12.406874,18.167525
17.441009,19.953935,17.662543,19.952176,13.8647925,14.6617845,15.936375,10.288576,12.324196,11.661026,14.957487,11.920574,17.590778
17.441009,19.953935,17.662543,19.952176,13.614623,14.415272,15.6932245,9.788237,11.834331,11.168001,14.7125545,11.434273,17.590778
16.568958,19.048731,16.793893,19.059929,13.053513,13.8576905,15.125526,9.538068,11.589399,10.921488,14.1575285,11.191123,16.725658
17.150325,19.6522,17.372993,19.65476,13.469281,14.270497,15.5445165,9.788237,11.834331,11.168001,14.568368,11.434273,17.302405
16.859642,19.350465,17.083443,19.357345,13.3239395,14.125722,15.395809,9.788237,11.834331,11.168001,14.4241815,11.434273,17.014032
15.987592,18.445261,16.214794,18.465097,12.5126605,13.3216285,14.58496,9.037729,11.099535,10.428463,13.624223,10.704823,16.148911
15.406225,17.841791,15.635694,17.870265,12.221977,13.0320785,14.287544,9.037729,11.099535,10.428463,13.33585,10.704823,15.572165
14.824858,17.238321,15.056594,17.275433,11.5560395,12.3727595,13.6254025,8.287221,10.364738,9.688925,12.680078,9.975372,14.995418
15.987592,18.445261,16.214794,18.465097,12.3875755,13.198372,14.463385,8.787559,10.854602,10.18195,13.5017565,10.461673,16.148911
15.696908,18.143526,15.925244,18.167681,12.2422335,13.053597,14.314677,8.787559,10.854602,10.18195,13.35757,10.461673,15.860538
16.278275,18.746996,16.504344,18.762513,12.658002,13.4664035,14.733668,9.037729,11.099535,10.428463,13.76841,10.704823,16.437285
15.987592,18.445261,16.214794,18.465097,12.5126605,13.3216285,14.58496,9.037729,11.099535,10.428463,13.624223,10.704823,16.148911
15.987592,18.445261,16.214794,18.465097,12.5126605,13.3216285,14.58496,9.037729,11.099535,10.428463,13.624223,10.704823,16.148911
15.987592,18.445261,16.214794,18.465097,12.5126605,13.3216285,14.58496,9.037729,11.099535,10.428463,13.624223,10.704823,16.148911
15.406225,17.841791,15.635694,17.870265,11.9718075,12.785566,14.0443935,8.53739,10.609671,9.935438,13.0909175,10.218522,15.572164
15.987592,18.445261,16.214794,18.465097,12.3875755,13.198372,14.463385,8.787559,10.854603,10.18195,13.501757,10.461673,16.148911
15.987592,18.445261,16.214794,18.465097,12.5126605,13.3216285,14.58496,9.037729,11.099535,10.428463,13.624223,10.704823,16.148911
15.987592,18.445261,16.214794,18.465097,12.3875755,13.198372,14.463385,8.787559,10.854603,10.18195,13.501757,10.461673,16.148911
16.278276,18.746996,16.504344,18.762513,12.783087,13.58966,14.855243,9.287898,11.344468,10.674976,13.890876,10.947973,16.437284
17.731693,20.25567,17.952093,20.249593,13.759965,14.560047,15.841933,9.788237,11.834332,11.168001,14.8567415,11.434273,17.879151
17.44101,19.953935,17.662543,19.952177,13.489539,14.2920155,15.57165,9.538068,11.5894,10.921488,14.590089,11.191123,17.590778
16.859643,19.350466,17.083444,19.357345,13.32394,14.1257225,15.395809,9.788237,11.834332,11.168001,14.4241815,11.434273,17.014031
16.278276,18.746996,16.504344,18.762513,12.908172,13.712916,14.976818,9.538068,11.5894,10.921488,14.013342,11.191123,16.437284
15.406225,17.841791,15.635694,17.870265,11.9718075,12.785566,14.0443935,8.53739,10.609671,9.935438,13.0909175,10.218522,15.572164
14.824858,17.238322,15.056594,17.275434,11.681124,12.496016,13.746978,8.53739,10.609671,9.935438,12.802544,10.218522,14.995417
14.534175,16.936587,14.767044,16.978018,11.1605285,11.981472,13.233545,7.786882,9.874874,9.1959,12.290959,9.489072,14.707044
14.534175,16.936587,14.767044,16.978018,11.4106975,12.2279845,13.476695,8.28722,10.364739,9.688925,12.5358915,9.975372,14.707044
14.824858,17.238322,15.056594,17.275434,11.30587,12.126247,13.382253,7.786882,9.874874,9.1959,12.4351455,9.489072,14.995417
13.662125,16.031382,13.898395,16.08577,10.5994185,11.423891,12.665846,7.536712,9.629942,8.949387,11.7359325,9.245922,13.841923
12.499391,14.824443,12.740195,14.896106,9.5177125,10.351766,11.5847135,6.536034,8.650213,7.963337,10.6693215,8.273321,12.68843
11.627341,13.919239,11.871545,14.003859,8.956603,9.7941845,11.017015,6.285865,8.405281,7.716824,10.1142955,8.030171,11.82331
11.336657,13.617504,11.581995,13.706443,8.5610915,9.402897,10.6251565,5.785526,7.915416,7.223799,9.725176,7.54387,11.534936
11.336657,13.617504,11.581995,13.706443,8.310922,9.1563845,10.3820065,5.285187,7.425552,6.730774,9.480244,7.05757,11.534936
10.75529,13.014034,11.002896,13.111611,8.0202385,8.866835,10.0845905,5.285187,7.425552,6.730774,9.1918705,7.05757,10.958189
9.592556,11.807095,9.844696,11.921947,7.188702,8.0412225,9.2466085,4.784848,6.935687,6.237749,8.3701915,6.57127,9.804696
10.464607,12.712299,10.713346,12.814195,7.499643,8.352291,9.5711575,4.534679,6.690755,5.991236,8.6802855,6.32812,10.669816
11.045974,13.315769,11.292446,13.409027,7.915411,8.7650975,9.9901485,4.784848,6.935687,6.237749,9.091125,6.57127,11.246563
11.627341,13.919239,11.871545,14.003859,8.456264,9.3011595,10.5307145,5.285187,7.425552,6.730774,9.624431,7.05757,11.82331
11.918024,14.220973,12.161095,14.301275,8.851775,9.692447,10.9225725,5.785526,7.915416,7.223799,10.0135495,7.54387,12.111683
11.045974,13.315769,11.292446,13.409027,8.2906655,9.134866,10.3548735,5.535357,7.670484,6.977286,9.4585235,7.30072,11.246563
9.88324,12.108829,10.134246,12.219363,7.334044,8.1859975,9.3953165,4.784848,6.935687,6.237749,8.514378,6.57127,10.093069
8.429823,10.600155,8.686496,10.732284,6.357166,7.2156095,8.4086265,4.284509,6.445823,5.744723,7.5485125,6.084969,8.651202
8.429823,10.600155,8.686496,10.732284,5.7317425,6.599328,7.800751,3.033662,5.221161,4.51216,6.9361815,4.869218,8.651202
8.429823,10.600155,8.686496,10.732284,5.7317425,6.599328,7.800751,3.033662,5.221161,4.51216,6.9361815,4.869218,8.651202
7.267089,9.393216,7.528297,9.54262,5.1503755,6.0202285,7.205919,3.033662,5.221161,4.51216,6.3594345,4.869218,7.497708
6.395039,8.488012,6.659647,8.650372,4.339096,5.2161345,6.3950695,2.283153,4.486364,3.772622,5.559476,4.139767,6.632588
6.685722,8.789746,6.949197,8.947788,4.4844375,5.3609095,6.5437775,2.283153,4.486364,3.772622,5.7036625,4.139767,6.920961
6.395039,8.488012,6.659647,8.650372,3.963842,4.8463655,6.0303445,1.532645,3.751568,3.033084,5.192078,3.410317,6.632588
6.395039,8.488012,6.659647,8.650372,4.0889265,4.969622,6.1519195,1.782814,3.9965,3.279597,5.314544,3.653467,6.632588
5.522988,7.582807,5.790997,7.758125,3.5278165,4.4120405,5.584221,1.532645,3.751568,3.033084,4.759518,3.410317,5.767468
5.522988,7.582807,5.790997,7.758125,3.402732,4.2887845,5.4626455,1.282476,3.506635,2.786572,4.6370515,3.167166,5.767468
4.650938,6.677603,4.922348,6.865877,2.341283,3.2381785,4.4086465,0.031628,2.281974,1.554009,3.5921605,1.951416,4.902347
4.941622,6.979337,5.211898,7.163293,2.61171,3.5062095,4.6789295,0.281798,2.526906,1.800521,3.8588135,2.194566,5.190721
4.941622,6.979337,5.211898,7.163293,2.61171,3.5062095,4.6789295,0.281798,2.526906,1.800521,3.8588135,2.194566,5.190721
4.650938,6.677603,4.922348,6.865877,2.5914525,3.484691,4.6517965,0.531967,2.771839,2.047034,3.837093,2.437716,4.902347
3.778888,5.772398,4.053698,5.973629,1.905258,2.8038535,3.9625225,0.031628,2.281974,1.554009,3.1596005,1.951416,4.037227
2.906837,4.867193,3.185048,5.081382,1.2190635,2.1230155,3.2732485,-0.46871,1.79211,1.060983,2.4821085,1.465115,3.172107
2.616154,4.565459,2.895498,4.783966,0.6984675,1.608472,2.7598155,-1.219219,1.057313,0.321446,1.9705235,0.735665,2.883734
2.616154,4.565459,2.895498,4.783966,0.448298,1.361959,2.516665,-1.719558,0.567448,-0.17158,1.725591,0.249364,2.883734
2.906837,4.867193,3.185048,5.081382,0.5936395,1.506734,2.665373,-1.719558,0.567448,-0.17158,1.8697775,0.249364,3.172107
2.906837,4.867193,3.185048,5.081382,0.7187245,1.6299905,2.7869485,-1.469388,0.812381,0.074933,1.992244,0.492515,3.172107
2.906837,4.867193,3.185048,5.081382,0.5936395,1.506734,2.665373,-1.719558,0.567448,-0.17158,1.8697775,0.249364,3.172107
2.034787,3.961989,2.316399,4.189134,0.1576145,1.0724095,2.219249,-1.719558,0.567448,-0.17158,1.4372175,0.249364,2.306987
1.45342,3.358519,1.737299,3.594302,-0.383238,0.536347,1.678683,-2.219896,0.077584,-0.664605,0.903912,-0.236936,1.73024
2.034787,3.961989,2.316399,4.189134,-0.0925545,0.825897,1.976099,-2.219896,0.077584,-0.664605,1.1922855,-0.236936,2.306987
2.32547,4.263724,2.605948,4.48655,-0.072298,0.847415,2.003232,-2.470066,-0.167348,-0.911118,1.214006,-0.480086,2.59536
1.744104,3.660254,2.026849,3.891718,0.2624425,1.1741475,2.3136915,-1.219219,1.057313,0.321446,1.537963,0.735665,2.018613
0.872053,2.75505,1.158199,2.99947,-0.6739215,0.246797,1.381267,-2.219896,0.077584,-0.664605,0.6155385,-0.236936,1.153493
0.58137,2.453315,0.868649,2.702054,-1.1945175,-0.267747,0.8678335,-2.970405,-0.657213,-1.404143,0.1039535,-0.966387,0.86512
0.290686,2.15158,0.579099,2.404639,-1.2147745,-0.2892655,0.8407015,-2.720235,-0.412281,-1.15763,0.0822325,-0.723236,0.576746
-0.872047,0.944641,-0.5791,1.214975,-2.5466495,-1.607903,-0.483581,-4.221252,-1.881874,-2.636706,-1.2293105,-2.182137,-0.576747
-1.744098,0.039437,-1.447749,0.322727,-2.982675,-2.0422275,-0.929705,-4.221252,-1.881874,-2.636706,-1.6618705,-2.182137,-1.441867
-2.325465,-0.564033,-2.026849,-0.272104,-3.523528,-2.57829,-1.470271,-4.721591,-2.371738,-3.129731,-2.195176,-2.668438,-2.018614
-3.488198,-1.770972,-3.185049,-1.461768,-4.480149,-3.527159,-2.429828,-5.4721,-3.106535,-3.869269,-3.139321,-3.397888,-3.172107
-4.069565,-2.374442,-3.764149,-2.0566,-5.0210015,-4.0632215,-2.9703945,-5.972438,-3.5964,-4.362294,-3.672627,-3.884189,-3.748854
-4.360249,-2.676177,-4.053698,-2.354016,-5.416513,-4.4545085,-3.3622525,-6.472777,-4.086264,-4.855319,-4.061746,-4.370489,-4.037228
-3.778882,-2.072707,-3.474599,-1.759184,-5.1258295,-4.164959,-3.0648365,-6.472777,-4.086264,-4.855319,-3.7733725,-4.370489,-3.460481
-4.069565,-2.374442,-3.764149,-2.0566,-5.5213405,-4.556247,-3.4566945,-6.973116,-4.576129,-5.348345,-4.1624915,-4.856789,-3.748854
-2.906831,-1.167502,-2.605949,-0.866936,-4.689804,-3.730634,-2.6187125,-6.472777,-4.086264,-4.855319,-3.3408125,-4.370489,-2.595361
-4.866549,-1.167502,-1.789256,-2.613498,-6.6266125,-3.1512165,-3.532558,-8.386676,-5.116751,-4.513177,-3.856056,-4.451618,-2.595361
-4.650932,-1.167502,-1.789256,-2.651431,-5.937109,-3.6920565,-3.8756855,-7.223286,-4.821061,-5.594857,-3.5385885,-5.09994,-2.256116
-5.813666,-2.374441,-2.947456,-3.841095,-6.7686455,-4.517669,-4.7136675,-7.723625,-5.310925,-6.087882,-4.3602675,-5.58624,-3.40961
-6.9764,-3.58138,-4.105656,-5.030759,-7.6001815,-5.343282,-5.5516495,-8.223963,-5.80079,-6.580908,-5.1819465,-6.07254,-4.563103
-6.9764,-3.58138,-4.105656,-5.030759,-8.1005205,-5.836307,-6.03795,-9.224641,-6.780519,-7.566958,-5.671811,-7.045141,-4.563103
-7.84845,-4.486585,-4.974305,-5.923006,-8.6616305,-6.393888,-6.6056485,-9.474811,-7.025451,-7.813471,-6.226837,-7.288291,-5.428223
-8.429817,-5.090054,-5.553405,-6.517838,-9.0773985,-6.806694,-7.0246395,-9.72498,-7.270383,-8.059983,-6.6376765,-7.531441,-6.00497
-8.720501,-5.391789,-5.842955,-6.815254,-9.347825,-7.0747255,-7.294923,-9.975149,-7.515316,-8.306496,-6.90433,-7.774592,-6.293344
-9.301867,-5.995259,-6.422055,-7.410086,-10.0137625,-7.7340445,-7.957064,-10.725658,-8.250112,-9.046034,-7.560101,-8.504042,-6.87009
-8.720501,-5.391789,-5.842955,-6.815254,-9.7230795,-7.4444945,-7.659648,-10.725658,-8.250112,-9.046034,-7.271728,-8.504042,-6.293344
-7.84845,-4.486585,-4.974305,-5.923006,-9.4121385,-7.1334255,-7.335099,-10.975827,-8.495045,-9.292546,-6.961634,-8.747192,-5.428223
-7.267083,-3.883115,-4.395205,-5.328175,-8.8712855,-6.597363,-6.7945335,-10.475488,-8.00518,-8.799521,-6.4283285,-8.260892,-4.851477
-6.685716,-3.279645,-3.816106,-4.733343,-8.205348,-5.9380445,-6.132392,-9.72498,-7.270383,-8.059983,-5.7725565,-7.531441,-4.27473
-6.9764,-3.58138,-4.105656,-5.030759,-8.35069,-6.0828195,-6.2811,-9.72498,-7.270383,-8.059983,-5.916743,-7.531441,-4.563103
-7.557767,-4.18485,-4.684755,-5.62559,-8.891543,-6.618882,-6.821666,-10.225319,-7.760248,-8.553009,-6.450049,-8.017742,-5.13985
-6.9764,-3.58138,-4.105656,-5.030759,-8.4757745,-6.206076,-6.4026755,-9.975149,-7.515316,-8.306496,-6.0392095,-7.774592,-4.563103
-7.267083,-3.883115,-4.395205,-5.328175,-8.4960315,-6.227594,-6.429808,-9.72498,-7.270383,-8.059983,-6.06093,-7.531441,-4.851477
-7.557767,-4.18485,-4.684755,-5.62559,-8.891543,-6.618882,-6.821666,-10.225319,-7.760248,-8.553009,-6.450049,-8.017742,-5.13985
-7.557767,-4.18485,-4.684755,-5.62559,-8.891543,-6.618882,-6.821666,-10.225319,-7.760248,-8.553009,-6.450049,-8.017742,-5.13985
-7.267083,-3.883115,-4.395205,-5.328175,-8.746201,-6.474107,-6.6729585,-10.225319,-7.760248,-8.553009,-6.3058625,-8.017742,-4.851477
-7.84845,-4.486585,-4.974305,-5.923006,-9.0368845,-6.763657,-6.970374,-10.225319,-7.760248,-8.553009,-6.5942355,-8.017742,-5.428223
-7.84845,-4.486585,-4.974305,-5.923006,-9.0368845,-6.763657,-6.970374,-10.225319,-7.760248,-8.553009,-6.5942355,-8.017742,-5.428223
-7.84845,-4.486585,-4.974305,-5.923006,-9.0368845,-6.763657,-6.970374,-10.225319,-7.760248,-8.553009,-6.5942355,-8.017742,-5.428223
-8.139134,-4.788319,-5.263855,-6.220422,-9.1822265,-6.908432,-7.119082,-10.225319,-7.760248,-8.553009,-6.738422,-8.017742,-5.716596
-7.84845,-4.486585,-4.974305,-5.923006,-9.287054,-7.0101695,-7.213524,-10.725658,-8.250112,-9.046034,-6.8391675,-8.504042,-5.428223
-8.429817,-5.090054,-5.553405,-6.517838,-9.5777375,-7.2997195,-7.51094,-10.725658,-8.250112,-9.046034,-7.127541,-8.504042,-6.00497
-9.011184,-5.693524,-6.132505,-7.11267,-10.1185905,-7.835782,-8.0515065,-11.225997,-8.739977,-9.539059,-7.660847,-8.990343,-6.581717
-9.011184,-5.693524,-6.132505,-7.11267,-10.243675,-7.9590385,-8.1730815,-11.476166,-8.984909,-9.785572,-7.783313,-9.233493,-6.581717
-9.011184,-5.693524,-6.132505,-7.11267,-9.9935055,-7.7125255,-7.929931,-10.975827,-8.495044,-9.292546,-7.5383805,-8.747192,-6.581717
-9.011184,-5.693524,-6.132505,-7.11267,-10.1185905,-7.835782,-8.0515065,-11.225997,-8.739977,-9.539059,-7.660847,-8.990343,-6.581717
-9.592551,-6.296994,-6.711605,-7.707502,-10.409274,-8.125332,-8.3489225,-11.225997,-8.739977,-9.539059,-7.94922,-8.990343,-7.158463
-9.883234,-6.598728,-7.001155,-8.004918,-10.6797,-8.3933635,-8.6192055,-11.476166,-8.984909,-9.785572,-8.215873,-9.233493,-7.446837
-10.173918,-6.900463,-7.290705,-8.302334,-10.825042,-8.5381385,-8.7679135,-11.476166,-8.984909,-9.785572,-8.3600595,-9.233493,-7.73521
-10.464601,-7.202198,-7.580254,-8.599749,-11.4707225,-9.175938,-9.402921,-12.476844,-9.964638,-10.771622,-8.994111,-10.206093,-8.023584
-11.045968,-7.805668,-8.159354,-9.194581,-11.761406,-9.465488,-9.700337,-12.476844,-9.964638,-10.771622,-9.282484,-10.206093,-8.60033
-11.045968,-7.805668,-8.159354,-9.194581,-11.8864905,-9.5887445,-9.8219125,-12.727013,-10.20957,-11.018135,-9.40495,-10.449244,-8.60033
-10.755285,-7.503933,-7.869804,-8.897165,-11.741149,-9.4439695,-9.6732045,-12.727013,-10.20957,-11.018135,-9.2607635,-10.449244,-8.311957
-10.464601,-7.202198,-7.580254,-8.599749,-11.345638,-9.0526815,-9.281346,-12.226675,-9.719706,-10.525109,-8.871645,-9.962943,-8.023584
-10.755285,-7.503933,-7.869804,-8.897165,-11.6160645,-9.320713,-9.551629,-12.476844,-9.964638,-10.771622,-9.1382975,-10.206093,-8.311957
-11.336652,-8.107403,-8.448904,-9.491997,-12.1569175,-9.8567755,-10.0921955,-12.977183,-10.454502,-11.264647,-9.671603,-10.692394,-8.888704
-11.918019,-8.710872,-9.028004,-10.086829,-12.447601,-10.1463255,-10.3896115,-12.977183,-10.454502,-11.264647,-9.9599765,-10.692394,-9.465451
-12.790069,-9.616077,-9.896654,-10.979077,-12.883626,-10.5806505,-10.8357355,-12.977183,-10.454502,-11.264647,-10.3925365,-10.692394,-10.330571
-13.080752,-9.917812,-10.186204,-11.276492,-13.4042215,-11.0951945,-11.349168,-13.727691,-11.189299,-12.004185,-10.9041215,-11.421844,-10.618944
-13.371436,-10.219547,-10.475753,-11.573908,-13.5495635,-11.239969,-11.497876,-13.727691,-11.189299,-12.004185,-11.0483085,-11.421844,-10.907318
-13.371436,-10.219547,-10.475753,-11.573908,-13.799733,-11.4864815,-11.7410265,-14.22803,-11.679164,-12.49721,-11.293241,-11.908145,-10.907318
-13.080752,-9.917812,-10.186204,-11.276492,-13.654391,-11.341707,-11.5923185,-14.22803,-11.679164,-12.49721,-11.149054,-11.908145,-10.618944
-13.080752,-9.917812,-10.186204,-11.276492,-13.654391,-11.341707,-11.5923185,-14.22803,-11.679164,-12.49721,-11.149054,-11.908145,-10.618944
-13.662119,-10.521281,-10.765303,-11.871324,-14.195244,-11.8777695,-12.1328845,-14.728369,-12.169028,-12.990236,-11.6823595,-12.394445,-11.195691
-13.662119,-10.521281,-10.765303,-11.871324,-14.195244,-11.8777695,-12.1328845,-14.728369,-12.169028,-12.990236,-11.6823595,-12.394445,-11.195691
-14.824853,-11.728221,-11.923503,-13.060988,-15.0267805,-12.703382,-12.9708665,-15.228708,-12.658893,-13.483261,-12.504039,-12.880745,-12.349185
-15.115537,-12.029956,-12.213053,-13.358404,-15.422292,-13.0946695,-13.362725,-15.729047,-13.148757,-13.976286,-12.8931575,-13.367046,-12.637558
-15.696903,-12.633425,-12.792153,-13.953236,-15.9631445,-13.630732,-13.903291,-16.229386,-13.638622,-14.469311,-13.4264635,-13.853346,-13.214305
-16.859637,-13.840365,-13.950352,-15.142899,-16.9197655,-14.5796005,-14.862848,-16.979894,-14.373418,-15.208849,-14.370608,-14.582797,-14.367798
-17.150321,-14.142099,-14.239902,-15.440315,-17.4403615,-15.0941445,-15.376281,-17.730402,-15.108215,-15.948387,-14.8821935,-15.312247,-14.656172
-17.150321,-14.142099,-14.239902,-15.440315,-17.4403615,-15.0941445,-15.376281,-17.730402,-15.108215,-15.948387,-14.8821935,-15.312247,-14.656172
-17.150321,-14.142099,-14.239902,-15.440315,-17.4403615,-15.0941445,-15.376281,-17.730402,-15.108215,-15.948387,-14.8821935,-15.312247,-14.656172
-17.441005,-14.443833,-14.529452,-15.737731,-17.335534,-14.992407,-15.281839,-17.230063,-14.618351,-15.455362,-14.7814485,-14.825947,-14.944546
-17.150321,-14.142099,-14.239902,-15.440315,-17.3152765,-14.970888,-15.254706,-17.480232,-14.863283,-15.701874,-14.7597275,-15.069097,-14.656172
-17.150321,-14.142099,-14.239902,-15.440315,-17.190192,-14.847632,-15.133131,-17.230063,-14.618351,-15.455362,-14.6372615,-14.825947,-14.656172
-17.150321,-14.142099,-14.239902,-15.440315,-17.4403615,-15.0941445,-15.376281,-17.730402,-15.108215,-15.948387,-14.8821935,-15.312247,-14.656172
-17.150321,-14.142099,-14.239902,-15.440315,-17.3152765,-14.970888,-15.254706,-17.480232,-14.863283,-15.701874,-14.7597275,-15.069097,-14.656172
-17.731688,-14.745568,-14.819002,-16.035147,-17.60596,-15.260438,-15.552122,-17.480232,-14.863283,-15.701874,-15.048101,-15.069097,-15.232919
-18.603739,-15.650773,-15.687652,-16.927395,-18.41724,-16.064532,-16.3629715,-18.230741,-15.59808,-16.441412,-15.8480595,-15.798548,-16.098039
-19.185106,-16.254242,-16.266752,-17.522226,-18.9580925,-16.6005945,-16.903537,-18.731079,-16.087944,-16.934437,-16.381365,-16.284848,-16.674786
-19.475789,-16.555977,-16.556301,-17.819642,-19.4786885,-17.115138,-17.4169705,-19.481588,-16.822741,-17.673975,-16.8929505,-17.014299,-16.96316
-18.022372,-15.047303,-15.108552,-16.332563,-18.251641,-15.8982385,-16.1871305,-18.48091,-15.843012,-16.687925,-15.6821525,-16.041698,-15.521293
-18.603739,-15.650773,-15.687652,-16.927395,-18.667409,-16.3110445,-16.6061215,-18.731079,-16.087944,-16.934437,-16.0929915,-16.284848,-16.098039
-18.603739,-15.650773,-15.687652,-16.927395,-18.667409,-16.3110445,-16.6061215,-18.731079,-16.087944,-16.934437,-16.0929915,-16.284848,-16.098039
-18.603739,-15.650773,-15.687652,-16.927395,-18.5423245,-16.1877885,-16.4845465,-18.48091,-15.843012,-16.687925,-15.9705255,-16.041698,-16.098039
-17.441005,-14.443833,-14.529452,-15.737731,-17.835873,-15.485432,-15.7681395,-18.230741,-15.59808,-16.441412,-15.271313,-15.798548,-14.944546
-15.987588,-12.935159,-13.081703,-14.250652,-16.73391,-14.3917885,-14.6598745,-17.480232,-14.863283,-15.701874,-14.182981,-15.069097,-13.502679
-15.406221,-12.331689,-12.502603,-13.65582,-16.0679725,-13.7324695,-13.9977335,-16.729724,-14.128486,-14.962336,-13.527209,-14.339647,-12.925932
-14.53417,-11.426485,-11.633953,-12.763572,-15.131608,-12.8051195,-13.065309,-15.729046,-13.148757,-13.976286,-12.6047845,-13.367046,-12.060812
