B1_004,B2_006,B3_008,F_020,L1_002,M_B1,M_B2,B1_003,B2_005,L1_001,M_L1,F_019,M_F
-13.080755,-12.68843,-13.578069,-12.740196,-13.0863,-13.4042225,-12.906242,-13.72769,-13.124054,-13.237868,-13.162084,-13.208733,-12.9744645
-13.662122,-13.265177,-14.181538,-13.319296,-13.681132,-13.694906,-13.1946155,-13.72769,-13.124054,-13.237868,-13.4595,-13.208733,-13.2640145
-13.952805,-13.55355,-14.483273,-13.608846,-13.978548,-14.090417,-13.583734,-14.228029,-13.613918,-13.724169,-13.8513585,-13.701758,-13.655302
-13.952805,-13.55355,-14.483273,-13.608846,-13.978548,-14.090417,-13.583734,-14.228029,-13.613918,-13.724169,-13.8513585,-13.701758,-13.655302
-14.243488,-13.841923,-14.785007,-13.898395,-14.275964,-14.6110125,-14.095319,-14.978537,-14.348715,-14.453619,-14.3647915,-14.441296,-14.1698455
-14.243488,-13.841923,-14.785007,-13.898395,-14.275964,-14.4859275,-13.9728525,-14.728367,-14.103782,-14.210469,-14.2432165,-14.194783,-14.046589
-14.824855,-14.41867,-15.388477,-14.477495,-14.870796,-15.1518655,-14.6286245,-15.478876,-14.838579,-14.93992,-14.905358,-14.934321,-14.705908
-14.243488,-13.841923,-14.785007,-13.898395,-14.275964,-14.861182,-14.340251,-15.478876,-14.838579,-14.93992,-14.607942,-14.934321,-14.416358
-13.662121,-13.265176,-14.181538,-13.319296,-13.681132,-14.320329,-13.8069455,-14.978537,-14.348715,-14.453619,-14.0673755,-14.441296,-13.880296
-13.952805,-13.55355,-14.483273,-13.608846,-13.978548,-14.7158405,-14.1960645,-15.478876,-14.838579,-14.93992,-14.459234,-14.934321,-14.2715835
-13.662121,-13.265176,-14.181538,-13.319296,-13.681132,-14.320329,-13.8069455,-14.978537,-14.348715,-14.453619,-14.0673755,-14.441296,-13.880296
-13.371438,-12.976803,-13.879803,-13.029746,-13.383717,-13.924818,-13.4178265,-14.478198,-13.85885,-13.967319,-13.675518,-13.94827,-13.489008
-12.499387,-12.111683,-12.974598,-12.161096,-12.491469,-13.613877,-13.1077325,-14.728367,-14.103782,-14.210469,-13.350969,-14.194783,-13.1779395
-11.91802,-11.534936,-12.371129,-11.581996,-11.896637,-13.198109,-12.696893,-14.478198,-13.85885,-13.967319,-12.931978,-13.94827,-12.765133
-11.336654,-10.958189,-11.767659,-11.002896,-11.301805,-12.407087,-11.918655,-13.47752,-12.879121,-12.994718,-12.1482615,-12.96222,-11.982558
-11.04597,-10.669816,-11.465924,-10.713346,-11.004389,-12.0115755,-11.5295365,-12.977181,-12.389257,-12.508418,-11.7564035,-12.469195,-11.5912705
-10.17392,-9.804696,-10.56072,-9.844697,-10.112142,-11.5755505,-11.0969765,-12.977181,-12.389257,-12.508418,-11.31028,-12.469195,-11.156946
-9.883236,-9.516322,-10.258985,-9.555147,-9.814726,-11.305124,-10.830323,-12.727012,-12.144324,-12.265268,-11.039997,-12.222682,-10.8889145
-9.883236,-9.516322,-10.258985,-9.555147,-9.814726,-11.1800395,-10.707857,-12.476843,-11.899392,-12.022118,-10.918422,-11.976169,-10.765658
-9.592553,-9.227949,-9.95725,-9.265597,-9.51731,-11.034698,-10.5636705,-12.476843,-11.899392,-12.022118,-10.769714,-11.976169,-10.620883
-10.17392,-9.804696,-10.56072,-9.844697,-10.112142,-11.3253815,-10.852044,-12.476843,-11.899392,-12.022118,-11.06713,-11.976169,-10.910433
