B1_004,B2_006,B3_008,B6_014,B7_016,F_020,L1_002,L2_018,M_B1,M_B2,M_B3,M_B6,M_L1,M_L2,B1_003,B2_005,B3_007,B6_013,F_019,L1_001,L2_017,M_F
-4.811724,-4.98098,-4.689897,-5.122094,-5.131155,-5.097421,-4.976486,-4.97637,-3.8799195,-3.958643,-3.829307,-4.0671215,-3.976588,-4.012444,-2.948115,-2.936306,-2.968717,-3.012149,-3.054006,-2.97669,-3.048518,-4.0757135
-4.528681,-4.687981,-4.414021,-4.820794,-4.829323,-4.797573,-4.683752,-4.683642,-3.82029,-3.8937075,-3.7738335,-4.000142,-3.912907,-3.950761,-3.111899,-3.099434,-3.133646,-3.17949,-3.223673,-3.142062,-3.21788,-4.010623
-3.679554,-3.808985,-3.586392,-3.916895,-3.923825,-3.898028,-3.805548,-3.805459,-3.3957265,-3.4542095,-3.360019,-3.5481925,-3.473805,-3.5116695,-3.111899,-3.099434,-3.133646,-3.17949,-3.223673,-3.142062,-3.21788,-3.5608505
-3.962596,-4.101983,-3.862268,-4.218195,-4.225657,-4.197876,-3.805548,-4.098187,-3.4553555,-3.5191445,-3.4154925,-3.615172,-3.912368,-3.5733525,-2.948115,-2.936306,-2.968717,-3.012149,-3.758461,-4.019188,-3.048518,-3.9781685
-3.962596,-4.101983,-3.862268,-4.218195,-4.225657,-4.197876,-3.805548,-4.098187,-3.4553555,-3.5191445,-3.4154925,-3.615172,-3.912368,-3.5733525,-2.948115,-2.936306,-2.968717,-3.012149,-3.758461,-4.019188,-3.048518,-3.9781685
-4.245638,-4.394982,-4.138145,-4.519495,-4.527489,-4.497724,-4.098283,-4.390915,-3.5968765,-3.665644,-3.553431,-3.765822,-4.0587355,-3.7197165,-2.948115,-2.936306,-2.968717,-3.012149,-3.758461,-4.019188,-3.048518,-4.1280925
-5.094766,-5.273978,-4.965774,-5.423394,-5.432987,-5.397269,-4.976486,-5.269098,-4.1852245,-4.2682705,-4.1321745,-4.385113,-4.663209,-4.32817,-3.275683,-3.262563,-3.298575,-3.346832,-4.097795,-4.349932,-3.387242,-4.747532
-6.793021,-7.031971,-6.621031,-7.231192,-7.243984,-7.196359,-6.732893,-7.025463,-5.3619205,-5.473523,-5.2896605,-5.623695,-5.8721555,-5.5450765,-3.93082,-3.915075,-3.95829,-4.016198,-4.776463,-5.011418,-4.06469,-5.986411
-7.076064,-7.32497,-6.896908,-7.532491,-7.545816,-7.496207,-7.025627,-7.318191,-5.749118,-5.864715,-5.674992,-6.025357,-6.26658,-5.945484,-4.422172,-4.40446,-4.453076,-4.518223,-5.285464,-5.507533,-4.572777,-6.3908355
-8.208234,-8.496965,-8.000413,-8.73769,-8.753147,-8.695601,-8.196565,-8.489101,-6.4789875,-6.6138405,-6.391673,-6.795298,-7.017421,-6.700301,-4.749741,-4.730716,-4.782933,-4.852906,-5.624798,-5.838277,-4.911501,-7.1601995
-8.491277,-8.789964,-8.276289,-9.038989,-9.05498,-8.995449,-8.4893,-8.781829,-6.620509,-6.76034,-6.529611,-6.9459475,-7.1637885,-6.846665,-4.749741,-4.730716,-4.782933,-4.852906,-5.624798,-5.838277,-4.911501,-7.3101235
-9.057362,-9.375962,-8.828042,-9.641589,-9.658645,-9.595146,-9.074769,-9.367284,-7.2311195,-7.3795955,-7.135345,-7.581931,-7.787266,-7.478117,-5.404877,-5.383229,-5.442648,-5.522273,-6.303466,-6.499763,-5.58895,-7.949306
-9.90649,-10.254959,-9.655671,-10.545488,-10.564143,-10.494691,-9.952972,-10.245467,-7.8194675,-7.982222,-7.7140885,-8.201222,-8.3917395,-8.0865705,-5.732445,-5.709485,-5.772506,-5.856956,-6.6428,-6.830507,-5.927674,-8.5687455
-10.189532,-10.547957,-9.931547,-10.846787,-10.865976,-10.794539,-10.245707,-10.538195,-8.206665,-8.3734135,-8.0994195,-8.602884,-8.7861645,-8.4869775,-6.223798,-6.19887,-6.267292,-6.358981,-7.151801,-7.326622,-6.43576,-8.97317
-11.321702,-11.719953,-11.035052,-12.051986,-12.073306,-11.993932,-11.416645,-11.709105,-8.936534,-9.1225395,-8.816101,-9.372825,-9.537005,-9.241795,-6.551366,-6.525126,-6.59715,-6.693664,-7.491135,-7.657365,-6.774485,-9.7425335
-11.604745,-12.012952,-11.310929,-12.353285,-12.375139,-12.29378,-11.709379,-12.001833,-9.2418395,-9.432167,-9.118968,-9.690816,-9.8487435,-9.557521,-6.878934,-6.851382,-6.927007,-7.028347,-7.830469,-7.988108,-7.113209,-10.0621245
-12.17083,-12.598949,-11.862681,-12.955885,-12.978804,-12.893477,-12.294848,-12.587288,-9.524882,-9.7251655,-9.394844,-9.992116,-10.141478,-9.8502485,-6.878934,-6.851382,-6.927007,-7.028347,-7.830469,-7.988108,-7.113209,-10.361973
-12.453873,-12.891948,-12.138558,-13.257184,-13.280637,-13.193325,-12.587583,-12.880016,-9.91208,-10.1163575,-9.7801755,-10.393778,-10.535903,-10.2506555,-7.370287,-7.340767,-7.421793,-7.530372,-8.33947,-8.484223,-7.621295,-10.7663975
-12.453873,-12.891948,-12.138558,-13.257184,-13.280637,-13.193325,-12.587583,-12.880016,-9.993972,-10.1979215,-9.86264,-10.477449,-10.618589,-10.3353365,-7.534071,-7.503895,-7.586722,-7.697714,-8.509137,-8.649595,-7.790657,-10.851231
-12.17083,-12.598949,-11.862681,-12.955885,-12.978804,-12.893477,-12.294848,-12.587288,-10.0162345,-10.21455,-9.8896305,-10.494141,-10.637593,-10.358335,-7.861639,-7.830151,-7.91658,-8.032397,-8.848471,-8.980338,-8.129382,-10.870974
-11.321702,-11.719953,-11.035052,-12.051986,-12.073306,-11.993932,-11.416645,-11.709105,-9.4278865,-9.611924,-9.310887,-9.87485,-10.03312,-9.749881,-7.534071,-7.503895,-7.586722,-7.697714,-8.509137,-8.649595,-7.790657,-10.2515345
-11.03866,-11.426954,-10.759176,-11.750686,-11.771474,-11.694084,-11.12391,-11.416378,-9.1225815,-9.302296,-9.0080205,-9.5568585,-9.721381,-9.4341555,-7.206503,-7.177638,-7.256865,-7.363031,-8.169803,-8.318852,-7.451933,-9.9319435
-11.321702,-11.719953,-11.035052,-12.051986,-12.073306,-11.993932,-11.416645,-11.709105,-9.2641025,-9.4487955,-9.1459585,-9.7075085,-9.8677485,-9.580519,-7.206503,-7.177638,-7.256865,-7.363031,-8.169803,-8.318852,-7.451933,-10.0818675
-11.321702,-11.719953,-11.035052,-12.051986,-12.073306,-11.993932,-11.416645,-11.709105,-9.1822105,-9.3672315,-9.063494,-9.6238375,-9.7850625,-9.495838,-7.042719,-7.01451,-7.091936,-7.195689,-8.000136,-8.15348,-7.282571,-9.997034
-11.604745,-12.012952,-11.310929,-12.353285,-12.375139,-12.29378,-11.709379,-12.001833,-9.487516,-9.6768595,-9.366361,-9.9418285,-10.096801,-9.811564,-7.370287,-7.340767,-7.421793,-7.530372,-8.33947,-8.484223,-7.621295,-10.316625
-11.887788,-12.30595,-11.586805,-12.654585,-12.676972,-12.593629,-12.002114,-12.29456,-9.6290375,-9.8233585,-9.504299,-10.0924785,-10.2431685,-9.9579275,-7.370287,-7.340767,-7.421793,-7.530372,-8.33947,-8.484223,-7.621295,-10.4665495
-12.736915,-13.184947,-12.414434,-13.558484,-13.58247,-13.493174,-12.880317,-13.172743,-10.217385,-10.425985,-10.0830425,-10.7117695,-10.847642,-10.566381,-7.697855,-7.667023,-7.751651,-7.865055,-8.678804,-8.814967,-7.960019,-11.085989
-12.736915,-13.184947,-12.414434,-13.558484,-13.58247,-13.493174,-12.880317,-13.172743,-10.381169,-10.589113,-10.247971,-10.8791115,-11.0130135,-10.7357435,-8.025423,-7.993279,-8.081508,-8.199739,-9.018138,-9.14571,-8.298744,-11.255656
-13.303,-13.770945,-12.966186,-14.161083,-14.186135,-14.09287,-13.465786,-13.758199,-10.6642115,-10.882112,-10.523847,-11.180411,-11.305748,-11.0284715,-8.025423,-7.993279,-8.081508,-8.199739,-9.018138,-9.14571,-8.298744,-11.555504
