B7_016,M_F,B3_007,B7_015,F_019,L1_001,M_B7,F_020
12.714811,8.820314,6.820349,6.60111,7.224015,8.040744,9.6579605,10.416613
11.45019,8.6474715,6.767478,5.940999,7.491185,8.25632,8.6955945,9.803758
11.02865,8.027528,6.661736,6.436082,7.170581,8.364108,8.732366,8.884475
11.23942,8.231813,7.296187,5.390906,7.170581,7.609591,8.315163,9.293045
12.082501,8.722897,6.397381,6.106026,7.437751,8.202426,9.0942635,10.008043
12.293271,8.231813,6.608865,5.610943,7.170581,7.663485,8.952107,9.293045
11.977116,8.5382405,6.767478,5.555934,7.170581,7.394014,8.766525,9.9059
11.660961,8.776331,7.137574,5.940999,7.544619,7.98685,8.80098,10.008043
12.187886,8.722897,7.772025,5.885989,7.437751,7.879061,9.0369375,10.008043
12.187886,8.3339555,7.190445,6.106026,7.170581,7.286226,9.146956,9.49733
11.134035,8.1469365,6.555994,5.500925,6.796543,7.501802,8.31748,9.49733
9.342489,8.0424315,7.243316,6.40074,6.689675,7.501802,7.8716145,9.395188
9.342489,8.0424315,7.243316,6.40074,6.689675,7.501802,7.8716145,9.395188
9.131719,8.2906995,7.824896,6.565768,6.369071,7.932955,7.8487435,10.212328
8.077869,7.886855,7.666284,5.795639,6.582807,7.825166,6.936754,9.190903
7.972484,7.5418965,7.296187,6.180703,5.995033,7.124543,7.0765935,9.08876
7.550943,7.750907,7.084703,5.68562,6.208769,7.178437,6.6182815,9.293045
7.340173,7.6487645,7.613413,5.795639,6.208769,7.124543,6.567906,9.08876
6.497093,7.4201255,7.084703,5.355565,6.262203,7.178437,5.926329,8.578048
7.340173,7.3910455,7.349058,5.520592,6.101901,6.908966,6.4303825,8.68019
6.813248,7.493188,7.084703,5.850648,6.101901,6.908966,6.331948,8.884475
7.550943,7.619685,7.4548,5.080519,6.048467,6.908966,6.315731,9.190903
7.129403,7.381595,7.137574,5.795639,5.67443,7.124543,6.462521,9.08876
7.550943,7.9528295,6.978962,6.190537,6.101901,7.016755,6.87074,9.803758
6.391708,7.031184,7.401929,6.740629,5.995033,6.801178,6.5661685,8.067335
4.810932,6.5353755,7.296187,5.475417,5.514128,6.316131,5.1431745,7.556623
4.705547,6.015212,6.978962,5.035343,5.086656,6.747284,4.870445,6.943768
4.600162,6.6862265,6.767478,5.925324,5.40726,6.208343,5.262743,7.965193
5.443242,6.2776565,6.978962,6.145361,5.40726,6.639496,5.7943015,7.148053
4.178622,6.219497,6.397382,5.705287,5.086656,5.992766,4.9419545,7.352338
4.284007,5.8572725,6.820349,5.650278,4.87292,5.938872,4.9671425,6.841625
3.440926,5.6797045,6.714607,5.595269,4.926354,5.399931,4.5180975,6.433055
4.705547,5.888715,6.027285,5.430241,5.14009,5.831084,5.067894,6.63734
3.440926,5.334747,6.661736,5.650278,4.338581,5.77719,4.545602,6.330913
3.124771,5.312755,6.238769,4.935158,4.498882,5.022672,4.0299645,6.126628
3.230156,4.8240345,6.661736,4.660112,4.338581,5.076566,3.945134,5.309488
2.07092,5.106107,6.080156,4.715121,4.392014,4.753201,3.3930205,5.8202
1.754765,4.479076,5.657189,4.220038,3.750807,4.645413,2.9874015,5.207345
6.700915,4.250437,6.133027,4.000001,3.804241,4.807095,5.350458,4.696633
6.173989,4.4743505,5.71006,4.220038,3.537071,4.21426,5.1970135,5.41163
6.911685,3.6768395,5.71006,3.33989,3.269901,4.483731,5.1257875,4.083778
6.384759,3.910204,5.339963,3.614936,3.430203,4.429837,4.9998475,4.390205
6.384759,3.910204,5.339963,3.614936,3.430203,4.429837,4.9998475,4.390205
5.436293,4.416191,5.974414,4.440075,3.216467,3.567531,4.938184,5.615915
5.120138,4.172648,5.234221,3.724955,3.750806,4.214261,4.4225465,4.59449
4.066287,4.187552,5.287092,3.669946,3.269901,3.513637,3.8681165,5.105203
4.066287,3.599051,4.969866,3.394899,3.216467,3.67532,3.730593,3.981635
3.855517,3.2391895,5.022737,2.62477,3.109599,3.136378,3.2401435,3.36878
2.907052,2.9185855,4.969866,2.129687,2.468391,3.136378,2.5183695,3.36878
2.169356,2.5925295,4.494028,1.634604,2.735561,2.866908,1.90198,2.449498
2.063971,1.907339,4.811253,1.689613,1.77375,2.75912,1.876792,2.040928
2.063971,1.4500605,4.494028,1.579594,1.880618,2.974696,1.8217825,1.019503
1.958586,1.2897585,4.229673,1.524585,1.560014,2.004602,1.7415855,1.019503
1.01012,1.5183975,4.176802,-1.52059,1.50658,2.058496,-0.255235,1.530215
0.79935,1.1710765,4.969866,0.259373,0.811938,1.735131,0.5293615,1.530215
1.115505,1.2245105,4.388286,-0.015674,0.918806,0.926719,0.5499155,1.530215
-0.149115,1.387175,3.965319,0.094345,1.346278,0.603355,-0.027385,1.428072
-0.46527,1.049305,3.383739,-0.070683,1.079108,0.872825,-0.2679765,1.019502
1.431661,1.6236295,3.277997,0.369391,0.491334,0.926719,0.900526,2.755925
1.431661,1.1977935,3.700964,0.974493,0.865372,0.603355,1.203077,1.530215
1.326276,1.8373655,3.753835,0.369391,0.918806,1.357872,0.8478335,2.755925
0.37781,0.9133575,2.749288,-0.29072,0.70507,0.27999,0.043545,1.121645
0.272425,0.295777,3.43661,-0.455748,0.491334,0.495566,-0.0916615,0.10022
-0.570655,0.317769,3.066513,-0.565766,0.331033,0.064413,-0.5682105,0.304505
-1.097581,-0.8176125,2.432062,-0.840812,-0.203307,0.495566,-0.9691965,-1.431918
-1.202966,-0.6911155,2.802159,-1.115859,-0.256741,-0.043375,-1.1594125,-1.12549
-0.46527,-0.2730945,2.432062,-1.280886,0.170731,-0.36674,-0.873078,-0.71692
-0.2545,-0.1780405,2.643546,-0.840812,-0.149873,0.333884,-0.547656,-0.206208
0.061655,0.261972,2.061966,-0.785803,0.117297,0.118307,-0.362074,0.406647
-0.781426,0.8795525,2.273449,-0.070683,0.331033,-0.205057,-0.4260545,1.428072
-0.781426,0.8795525,2.273449,-0.070683,0.331033,-0.205057,-0.4260545,1.428072
-1.308352,1.521487,1.956224,-0.015673,0.491335,-0.097269,-0.6620125,2.551639
-0.570656,1.239414,2.061966,0.149354,0.437901,0.172202,-0.210651,2.040927
-0.465271,1.3949905,2.167707,-0.125692,0.544769,0.549461,-0.2954815,2.245212
-1.097582,1.001324,1.797611,-0.345729,0.063864,0.27999,-0.7216555,1.938784
-2.046047,0.6705425,1.480386,-0.510756,0.117298,-0.097269,-1.2784015,1.223787
-2.046047,-0.2361995,1.586127,-3.885988,-0.470476,-0.474527,-2.9660175,-0.001923
-3.837593,-1.5585995,2.009095,-5.041182,-1.378853,-1.282939,-4.4393875,-1.738346
-4.259133,-1.942815,1.586127,-5.1512,-1.432287,-1.875775,-4.7051665,-2.453343
-3.521438,-2.902991,1.586127,-5.316228,-2.126929,-2.360822,-4.418833,-3.679053
-4.153748,-3.61909,0.793064,-5.426246,-4.069839,-2.791975,-4.789997,-3.168341
-3.626823,-4.1298025,1.16316,-5.261219,-4.069839,-2.522504,-4.444021,-4.189766
-3.942978,-3.830463,0.158613,-5.86632,-4.390443,-2.845869,-4.904649,-3.270483
-4.153748,-3.59001,0.264354,-6.086357,-3.909537,-2.522504,-5.1200525,-3.270483
-3.626823,-3.494956,0.58158,-6.031348,-4.230141,-2.46861,-4.8290855,-2.759771
-3.837593,-3.930243,0.211484,-4.821145,-4.283575,-2.46861,-4.329369,-3.576911
-2.994513,-3.794295,-0.317226,-5.591274,-3.909537,-3.007551,-4.2928935,-3.679053
-3.099898,-3.3637335,-0.158613,-5.1512,-4.069839,-2.953657,-4.125549,-2.657628
-2.046047,-3.219971,-0.422967,-5.1512,-4.497311,-2.899763,-3.5986235,-1.942631
-3.099898,-3.3660965,-0.475838,-4.876154,-4.176707,-2.953657,-3.988026,-2.555486
-3.837593,-3.3731845,-1.004547,-5.481256,-4.497311,-2.953657,-4.6594245,-2.249058
-2.889128,-3.5703815,-0.105742,-4.986172,-4.176707,-2.306928,-3.93765,-2.964056
-3.732208,-3.6309035,-0.845935,-5.426246,-4.604179,-2.522504,-4.579227,-2.657628
-3.626823,-3.300122,-0.687322,-5.701293,-4.657613,-2.899763,-4.664058,-1.942631
-2.889128,-3.40699,-0.740193,-5.86632,-4.871349,-2.791975,-4.377724,-1.942631
-3.310668,-3.4117155,-0.898806,-5.536265,-5.085085,-2.576398,-4.4234665,-1.738346
-4.469903,-2.9960575,-1.216031,-5.481256,-4.764481,-2.953657,-4.9755795,-1.227634
-4.996829,-3.5287615,-1.374644,-5.86632,-4.604179,-3.38481,-5.4315745,-2.453344
-5.523754,-3.480053,-0.317226,-6.581441,-4.711047,-3.169234,-6.0525975,-2.249059
-5.945294,-3.805382,-1.057418,-6.526431,-5.56599,-3.38481,-6.2358625,-2.044774
-5.945294,-3.805382,-1.057418,-6.526431,-5.56599,-3.38481,-6.2358625,-2.044774
-5.312984,-2.7792315,-1.427515,-6.416413,-5.352254,-3.061446,-5.8646985,-0.206209
-4.996828,-3.1320045,-1.268902,-6.471422,-5.138518,-3.38481,-5.734125,-1.125491
-3.732208,-3.0440385,-1.903353,-6.031348,-5.779726,-3.277022,-4.881778,-0.308351
-5.102213,-2.667638,-1.321773,-5.756302,-4.924782,-3.061446,-5.4292575,-0.410494
-4.259133,-2.721072,-1.74474,-6.031348,-5.03165,-3.38481,-5.1452405,-0.410494
-4.891443,-3.547663,-1.797611,-6.086357,-5.459122,-3.492599,-5.4889,-1.636204
-4.891443,-3.4455205,-2.220579,-6.416413,-5.459122,-3.492599,-5.653928,-1.431919
-4.891443,-3.8784445,-1.797611,-6.251385,-5.405688,-3.977646,-5.571414,-2.351201
-4.469902,-3.7566735,-2.32632,-6.856486,-5.672858,-3.600387,-5.663194,-1.840489
-5.734523,-4.498388,-2.802159,-7.241551,-5.726292,-4.139328,-6.488037,-3.270484
-5.102213,-4.169969,-2.696417,-7.35157,-5.886594,-4.139328,-6.2268915,-2.453344
-4.996828,-4.6366985,-2.696417,-7.626616,-6.207198,-4.247116,-6.311722,-3.066199
-5.839908,-4.6123435,-2.379191,-7.736634,-6.260631,-4.732163,-6.788271,-2.964056
-5.734523,-5.1301445,-2.696417,-7.626616,-6.581235,-4.94774,-6.6805695,-3.679054
-6.366833,-4.4300505,-3.172255,-7.461588,-6.10033,-4.732163,-6.9142105,-2.759771
-4.786058,-4.6123435,-2.537804,-7.406579,-6.260631,-4.516587,-6.0963185,-2.964056
-5.523753,-4.7922745,-3.383739,-7.461588,-6.314065,-4.247116,-6.4926705,-3.270484
-4.048362,-4.592715,-2.85503,-7.021514,-6.527801,-4.139328,-5.534938,-2.657629
-4.575287,-5.159224,-3.595222,-7.186542,-6.741537,-4.139328,-5.8809145,-3.576911
-6.050678,-4.947851,-2.802159,-7.29656,-6.420933,-4.139328,-6.673619,-3.474769
-6.577604,-4.6099815,-3.383739,-7.461588,-6.153764,-4.247116,-7.019596,-3.066199
-6.472218,-4.957302,-3.648093,-7.956671,-6.848405,-3.923751,-7.2144445,-3.066199
-5.839908,-5.0594445,-4.01819,-8.06669,-6.848405,-4.462693,-6.953299,-3.270484
-5.102213,-5.20557,-3.595222,-8.06669,-6.527801,-5.109422,-6.5844515,-3.883339
-5.839908,-5.9371065,-3.859577,-8.231718,-7.275877,-4.839952,-7.035813,-4.598336
-5.839908,-5.621228,-4.229673,-8.176708,-6.848405,-5.163316,-7.008308,-4.394051
-5.629138,-4.984019,-3.965319,-7.791644,-6.901839,-4.94774,-6.710391,-3.066199
-6.682989,-5.7500875,-3.648093,-8.451755,-6.901839,-4.624375,-7.567372,-4.598336
-8.052994,-5.596874,-4.229673,-8.616782,-6.901839,-5.486681,-8.334888,-4.291909
-7.104529,-6.112312,-4.176802,-8.341736,-7.115575,-5.001634,-7.7231325,-5.109049
-8.158379,-6.929452,-4.176802,-8.341736,-7.115575,-5.001634,-8.2500575,-6.743329
-7.842224,-6.5766785,-5.181349,-7.681625,-7.329311,-4.624375,-7.7619245,-5.824046
-8.052994,-6.6670075,-4.969866,-8.286727,-6.794971,-4.139328,-8.1698605,-6.539044
-8.052994,-6.790949,-4.369201,-8.211861,-7.042854,-4.497133,-8.1324275,-6.539044
-7.842224,-6.219714,-4.474943,-7.661769,-6.615382,-4.227663,-7.7519965,-5.824046
-7.315299,-5.626488,-4.84504,-7.716778,-6.348212,-4.281557,-7.5160385,-4.904764
-7.315299,-6.557584,-4.950781,-7.826797,-6.882552,-4.012086,-7.571048,-6.232616
-7.631454,-6.5285045,-5.109394,-7.936815,-6.72225,-4.173769,-7.7841345,-6.334759
-9.21223,-6.409096,-4.739298,-8.541917,-7.096288,-4.281557,-8.8770735,-5.721904
-10.160695,-6.924534,-5.479491,-8.32188,-7.310024,-4.389345,-9.2412875,-6.539044
-8.79069,-6.8467455,-4.950781,-7.991824,-7.25659,-4.012086,-8.391257,-6.436901
-7.631454,-6.12466,-5.162265,-8.376889,-6.935986,-4.173769,-8.0041715,-5.313334
-7.104529,-6.788586,-5.109394,-8.32188,-6.935986,-4.012086,-7.7132045,-6.641186
-7.104529,-6.2802365,-4.950781,-7.441732,-7.042854,-4.443239,-7.2731305,-5.517619
-7.315299,-6.12466,-5.109394,-7.221695,-6.935986,-4.71271,-7.268497,-5.313334
-6.893759,-5.536159,-5.320878,-7.661769,-6.882552,-4.119874,-7.277764,-4.189766
-6.682989,-5.784427,-4.633556,-7.441732,-6.561948,-4.173769,-7.0623605,-5.006906
-6.156063,-5.9400035,-5.373749,-7.166686,-6.668816,-3.904298,-6.6613745,-5.211191
-4.996828,-5.458371,-5.003652,-6.781621,-6.829118,-3.958192,-5.8892245,-4.087624
-5.839908,-5.215555,-4.474943,-7.001658,-6.241344,-3.742616,-6.420783,-4.189766
-5.839908,-5.4245655,-4.633556,-7.331714,-6.45508,-3.419251,-6.585811,-4.394051
-4.996828,-5.1228635,-5.162265,-6.561584,-6.668816,-3.79651,-5.779206,-3.576911
-5.629138,-4.799897,-4.84504,-7.001658,-5.92074,-3.79651,-6.315398,-3.679054
-4.575287,-4.515461,-4.739298,-6.451566,-5.760438,-3.79651,-5.5134265,-3.270484
-3.099897,-4.7488255,-4.633556,-6.12151,-5.92074,-3.473145,-4.6107035,-3.576911
-3.521437,-4.3527965,-4.422072,-5.791455,-5.332967,-3.095886,-4.656446,-3.372626
-3.837592,-4.5303645,-4.422072,-6.176519,-5.279533,-3.257568,-5.0070555,-3.781196
-4.575287,-4.806985,-4.474943,-6.231529,-6.241344,-3.419251,-5.403408,-3.372626
-4.575287,-5.135404,-4.474943,-6.12151,-6.081042,-3.203674,-5.3483985,-4.189766
-4.891443,-4.649046,-4.157718,-6.506575,-6.027608,-3.365357,-5.699009,-3.270484
-4.891443,-4.649046,-4.157718,-6.506575,-6.027608,-3.365357,-5.699009,-3.270484
-4.153748,-4.2090335,-4.897911,-6.12151,-5.760438,-4.012086,-5.137629,-2.657629
-4.048363,-4.491107,-4.369202,-6.176519,-5.813872,-3.527039,-5.112441,-3.168342
-4.680673,-4.4282225,-4.633557,-6.396556,-5.279533,-3.580933,-5.5386145,-3.576912
-5.102213,-4.615241,-4.26346,-6.286538,-5.65357,-3.958192,-5.6943755,-3.576912
-5.839909,-4.2820965,-4.422073,-6.451566,-5.600136,-3.904298,-6.1457375,-2.964057
-5.207598,-4.855694,-4.104847,-6.616593,-6.134476,-3.365357,-5.9120955,-3.576912
-6.366834,-4.7244715,-4.474944,-7.001658,-5.974174,-3.79651,-6.684246,-3.474769
-5.839909,-5.6775595,-4.527815,-7.001658,-6.348212,-3.850404,-6.4207835,-5.006907
-6.050679,-5.5510625,-4.580686,-6.781621,-6.401646,-4.658816,-6.41615,-4.700479
-5.523754,-5.4198405,-4.157718,-7.166686,-6.241344,-3.688721,-6.34522,-4.598337
-4.364518,-4.7975345,-4.210589,-6.011492,-5.813872,-4.604922,-5.188005,-3.781197
-3.942978,-4.3889645,-4.104847,-6.011492,-5.813872,-3.634827,-4.977235,-2.964057
-4.153748,-3.915147,-4.527815,-6.12151,-5.172665,-3.365357,-5.137629,-2.657629
-3.205282,-4.204308,-4.474944,-6.066501,-5.546702,-3.203674,-4.6358915,-2.861914
-3.732208,-4.146149,-4.792169,-5.296372,-5.226099,-3.473145,-4.51429,-3.066199
-3.626823,-4.2530165,-4.051977,-5.846464,-5.439834,-3.14978,-4.7366435,-3.066199
-1.940662,-3.7619335,-4.950782,-5.40639,-5.172665,-3.203674,-3.673526,-2.351202
-1.308351,-3.268487,-4.580686,-5.076335,-4.798627,-2.503051,-3.192343,-1.738347
-0.043731,-2.05768,-4.051977,-4.636261,-4.317721,-3.257568,-2.339996,0.202361
0.061654,-2.4442585,-3.576138,-4.141177,-4.478023,-2.018004,-2.0397615,-0.410494
-0.992196,-1.71981,-3.840493,-4.031159,-4.050551,-2.934204,-2.5116775,0.610931
-0.676041,-1.7441645,-3.68188,-3.97615,-3.997117,-2.556945,-2.3260955,0.508788
-1.097581,-2.5951095,-3.576138,-4.251196,-4.371155,-2.287474,-2.6743885,-0.819064
-2.678357,-2.5416755,-3.417526,-4.361214,-4.264287,-2.179686,-3.5197855,-0.819064
-2.151432,-2.9062625,-3.206042,-5.296372,-4.584891,-2.556945,-3.723902,-1.227634
-1.519121,-2.3664705,-3.417526,-4.69127,-4.424589,-2.23358,-3.1051955,-0.308352
-0.254501,-2.308311,-3.68188,-4.526242,-4.103985,-2.341368,-2.3903715,-0.512637
1.64243,-2.3035855,-3.893364,-4.306205,-3.890249,-2.664733,-1.3318875,-0.716922
2.380126,-1.4330115,-3.1003,-3.371048,-3.783381,-2.179686,-0.495461,0.917358
3.644746,-0.6622175,-3.576138,-4.380882,-3.569646,-1.964109,-0.368068,2.245211
3.644746,-0.6622175,-3.576138,-4.380882,-3.569646,-1.964109,-0.368068,2.245211
4.698596,0.271241,-3.470396,-4.710938,-2.928439,-1.58685,-0.006171,3.470921
5.120137,0.4558975,-3.311784,-3.720772,-2.661269,-0.886226,0.6996825,3.573064
5.752447,0.8621045,-3.258913,-3.390716,-2.768137,-0.724544,1.1808655,4.492346
5.436292,0.786679,-3.470396,-3.83079,-2.714703,-0.239497,0.802751,4.288061
6.595527,0.89591,-2.835945,-3.555744,-2.394099,-1.101803,1.5198915,4.185919
6.279372,1.3531885,-2.51872,-3.280698,-2.500967,-0.994015,1.499337,5.207344
6.068602,1.394082,-2.624462,-2.675596,-1.806325,-0.67065,1.696503,4.594489
6.911683,1.853723,-2.465849,-2.895633,-1.806325,-0.185603,2.008025,5.513771
6.173987,1.807377,-2.465849,-2.840624,-1.59259,0.24555,1.6666815,5.207344
6.279372,1.654163,-1.567043,-2.510568,-1.59259,-0.185603,1.884402,4.900916
7.122453,1.2628595,-2.465849,-2.290531,-1.966627,0.029974,2.415961,4.492346
7.649378,2.633968,-1.725656,-1.850457,-1.165118,0.353339,2.8994605,6.433054
8.281688,2.3715235,-1.302689,-2.125503,-1.485722,0.137762,3.0780925,6.228769
8.492458,3.1156005,-1.725656,-1.63042,-1.32542,0.946174,3.431019,7.556621
8.492458,3.3144335,-1.514173,-1.410383,-0.417042,1.377327,3.5410375,7.045909
7.965533,2.872058,-0.985463,-1.245356,-0.79108,0.568915,3.3600885,6.535196
7.754763,2.7604645,-1.196947,-1.850457,-1.218552,1.592903,2.952153,6.739481
8.387073,2.9742005,-1.144076,-1.575411,-0.79108,1.107856,3.405831,6.739481
8.913999,3.309708,-0.879722,-1.190346,-0.630778,0.568915,3.8618265,7.250194
9.546309,3.8447745,-0.456754,-0.970309,-0.684212,1.053962,4.288,8.373761
8.703228,3.416576,-0.562496,-0.970309,-0.417042,1.431221,3.8664595,7.250194
8.070918,3.513993,-0.139529,-1.520402,-0.630778,1.000068,3.275258,7.658764
8.070918,3.253911,-0.456754,-0.640254,-0.844514,1.431221,3.715332,7.352336
8.070918,4.384567,-0.245271,-0.420217,-0.52391,1.754586,3.8253505,9.293044
8.070918,4.753879,-0.351012,0.129876,0.010429,1.431221,4.100397,9.497329
8.070918,4.476531,-0.403883,-0.475226,0.170731,1.377327,3.797846,8.782331
8.070918,4.8120385,0.071955,-0.145171,0.331033,1.646798,3.9628735,9.293044
8.070918,4.73425,-0.1924,0.074866,0.277599,2.024056,4.072892,9.190901
8.913999,4.6879045,-0.033787,0.624959,0.491335,2.401315,4.769479,8.884474
8.913999,4.6879045,-0.033787,0.624959,0.491335,2.401315,4.769479,8.884474
8.913999,4.5661335,0.706406,1.120042,0.758505,3.101939,5.0170205,8.373762
9.862465,4.668276,0.442052,1.945181,0.758505,3.64088,5.903823,8.578047
9.019384,5.0886595,0.494923,1.835162,1.292845,3.263621,5.427273,8.884474
10.073235,5.740045,0.653535,2.055199,1.880618,4.072033,6.064217,9.599472
10.17862,5.528672,1.182244,2.660301,1.560015,3.910351,6.4194605,9.497329
9.335539,5.890896,1.340857,2.110208,1.77375,3.425304,5.7228735,10.008042
9.651695,5.2756785,1.287986,1.945181,1.666883,3.856457,5.798438,8.884474
10.705545,5.652806,1.287986,1.835162,1.399713,4.449292,6.2703535,9.905899
10.916315,6.403971,1.605212,2.71531,1.880618,4.449292,6.8158125,10.927324
12.391706,6.403971,2.08105,2.605292,1.880618,4.55708,7.498499,10.927324
11.759396,6.7732835,1.393728,3.045365,2.414958,5.096022,7.4023805,11.131609
12.813246,7.133145,1.869566,3.595458,2.521826,4.880445,8.204352,11.744464
10.394022,7.9691865,1.763824,4.640634,3.376769,5.742751,7.517328,12.561604
10.499407,8.3604905,1.763824,4.035532,3.750807,5.527175,7.2674695,12.970174
11.026332,8.1491175,2.345405,4.14555,3.430203,6.066116,7.585941,12.868032
11.658643,8.4162875,2.874114,4.970689,3.964543,6.389481,8.314666,12.868032
10.815562,8.299969,2.398275,4.750652,3.323336,6.551163,7.783107,13.276602
10.918631,8.277977,3.032726,4.640634,3.483637,6.551163,7.7796325,13.072317
10.075551,8.1491175,2.874114,4.530615,3.430203,6.173904,7.303083,12.868032
