B7_016,F_020,M_B7,B3_007,B7_015,F_019,M_F,L1_001
11.977116,9.9059,8.766525,6.767478,5.555934,7.170581,8.5382405,7.394014
11.660961,10.008043,8.80098,7.137574,5.940999,7.544619,8.776331,7.98685
12.187886,10.008043,9.0369375,7.772025,5.885989,7.437751,8.722897,7.879061
12.187886,9.49733,9.146956,7.190445,6.106026,7.170581,8.3339555,7.286226
11.134035,9.49733,8.31748,6.555994,5.500925,6.796543,8.1469365,7.501802
9.342489,9.395188,7.8716145,7.243316,6.40074,6.689675,8.0424315,7.501802
9.342489,9.395188,7.8716145,7.243316,6.40074,6.689675,8.0424315,7.501802
9.131719,10.212328,7.8487435,7.824896,6.565768,6.369071,8.2906995,7.932955
8.077869,9.190903,6.936754,7.666284,5.795639,6.582807,7.886855,7.825166
7.972484,9.08876,7.0765935,7.296187,6.180703,5.995033,7.5418965,7.124543
7.550943,9.293045,6.6182815,7.084703,5.68562,6.208769,7.750907,7.178437
7.340173,9.08876,6.567906,7.613413,5.795639,6.208769,7.6487645,7.124543
6.497093,8.578048,5.926329,7.084703,5.355565,6.262203,7.4201255,7.178437
7.340173,8.68019,6.4303825,7.349058,5.520592,6.101901,7.3910455,6.908966
6.813248,8.884475,6.331948,7.084703,5.850648,6.101901,7.493188,6.908966
7.550943,9.190903,6.315731,7.4548,5.080519,6.048467,7.619685,6.908966
7.129403,9.08876,6.462521,7.137574,5.795639,5.67443,7.381595,7.124543
7.550943,9.803758,6.87074,6.978962,6.190537,6.101901,7.9528295,7.016755
6.391708,8.067335,6.5661685,7.401929,6.740629,5.995033,7.031184,6.801178
4.810932,7.556623,5.1431745,7.296187,5.475417,5.514128,6.5353755,6.316131
4.705547,6.943768,4.870445,6.978962,5.035343,5.086656,6.015212,6.747284
4.600162,7.965193,5.262743,6.767478,5.925324,5.40726,6.6862265,6.208343
5.443242,7.148053,5.7943015,6.978962,6.145361,5.40726,6.2776565,6.639496
4.178622,7.352338,4.9419545,6.397382,5.705287,5.086656,6.219497,5.992766
4.284007,6.841625,4.9671425,6.820349,5.650278,4.87292,5.8572725,5.938872
3.440926,6.433055,4.5180975,6.714607,5.595269,4.926354,5.6797045,5.399931
4.705547,6.63734,5.067894,6.027285,5.430241,5.14009,5.888715,5.831084
3.440926,6.330913,4.545602,6.661736,5.650278,4.338581,5.334747,5.77719
3.124771,6.126628,4.0299645,6.238769,4.935158,4.498882,5.312755,5.022672
3.230156,5.309488,3.945134,6.661736,4.660112,4.338581,4.8240345,5.076566
2.07092,5.8202,3.3930205,6.080156,4.715121,4.392014,5.106107,4.753201
1.754765,5.207345,2.9874015,5.657189,4.220038,3.750807,4.479076,4.645413
6.700915,4.696633,5.350458,6.133027,4.000001,3.804241,4.250437,4.807095
6.173989,5.41163,5.1970135,5.71006,4.220038,3.537071,4.4743505,4.21426
6.911685,4.083778,5.1257875,5.71006,3.33989,3.269901,3.6768395,4.483731
6.384759,4.390205,4.9998475,5.339963,3.614936,3.430203,3.910204,4.429837
6.384759,4.390205,4.9998475,5.339963,3.614936,3.430203,3.910204,4.429837
